Order ID,Order Date,Ship Date,Customer Name,Customer ID,Customer Segment,Category,Product Name,Product ID,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Stock Left,Auto Reorder,Reorder Quantity,Supplier Name,Supplier Email,Payment Mode,Delivery Status
ORD1000,2025-09-01,2025-09-07,Patrick Sanchez,CUST214,Consumer,Electronics,Monitor,PROD4657,South,Florida,Lake Joyside,2,3415.83,20,5465.33,1826.7,-270.42,5,Yes,26,Garza Inc,davisjesse@example.net,UPI,Returned
ORD1001,2024-05-13,2024-05-18,Michelle Miles,CUST716,Consumer,Office Supplies,Calculator,PROD7873,South,Nebraska,South Bridget,8,2987.4,0,23899.2,2400.44,0.0,44,No,0,Blake and Sons,jpeterson@example.org,Cash,Pending
ORD1002,2025-12-07,2025-12-10,Brandon Davis,CUST384,Consumer,Office Supplies,Stapler,PROD2674,North,Minnesota,Lindsaymouth,7,573.91,10,3615.63,425.55,934.67,46,No,0,"Martinez, Nielsen and Miller",maria95@example.net,Cash,Delivered
ORD1003,2024-09-19,2024-09-24,Amber Perez,CUST227,Corporate,Furniture,Dining Table,PROD5803,East,Maine,Port Jesseville,10,1042.21,0,10422.1,540.21,0.0,49,No,0,Ramirez-Reid,francisco53@example.net,Bank Transfer,Pending
ORD1004,2024-11-16,2024-11-17,Melinda Jones,CUST975,Consumer,Furniture,Sofa,PROD5554,West,South Dakota,New Jessica,6,897.01,10,4843.85,523.68,0.0,44,No,0,Ford LLC,gabriellecameron@example.org,Credit Card,Cancelled
ORD1005,2024-10-17,2024-10-22,Renee Morales,CUST750,Consumer,Office Supplies,Notebook,PROD8573,West,California,New Nancy,5,4948.66,20,19794.64,2909.05,0.0,49,No,0,Lewis-Porter,ithomas@example.org,Credit Card,Cancelled
ORD1006,2025-11-22,2025-11-24,Deborah Richards,CUST941,Consumer,Electronics,Mouse,PROD5386,North,Pennsylvania,Coxberg,4,4574.37,20,14637.98,3890.72,0.0,13,No,0,"Snyder, Campos and Callahan",courtneyconner@example.com,Cash,Cancelled
ORD1007,2025-07-30,2025-08-03,James Ferrell,CUST758,Corporate,Office Supplies,Stapler,PROD3287,South,North Dakota,Tashatown,9,2740.99,20,19735.13,1840.23,-1118.09,8,Yes,36,"Le, Maldonado and Herrera",kayla51@example.com,Cash,Returned
ORD1008,2025-03-26,2025-03-27,Aaron Bowen,CUST873,Consumer,Furniture,Study Table,PROD3621,West,Washington,Teresaburgh,10,411.29,15,3495.97,303.68,-188.26,35,No,0,"Gaines, Harrell and Evans",ericfarmer@example.net,Credit Card,Returned
ORD1009,2025-12-18,2025-12-24,Tamara George,CUST838,Consumer,Electronics,Keyboard,PROD2827,East,New York,North Sarahport,7,874.97,0,6124.79,771.31,0.0,32,No,0,Brown PLC,millertodd@example.org,UPI,Cancelled
ORD1010,2025-12-04,2025-12-09,Beth Keller,CUST208,Home Office,Electronics,Headphone,PROD4258,South,Oklahoma,West Allison,6,3836.3,20,18414.24,3381.31,2183.95,38,No,0,"Henderson, Lewis and Ryan",jenniferross@example.net,Bank Transfer,Delivered
ORD1011,2025-09-09,2025-09-13,Steven Hayes,CUST119,Consumer,Electronics,Keyboard,PROD4923,North,Kansas,North Matthew,4,4402.25,0,17609.0,2351.95,-2158.59,48,No,0,"Spencer, Chapman and Smith",perezrebecca@example.com,Net Banking,Returned
ORD1012,2024-06-17,2024-06-24,Diana Washington,CUST228,Consumer,Groceries,Vegetables,PROD3705,East,Ohio,Lake Selena,9,4374.92,15,33468.14,3875.06,0.0,45,No,0,"Johnston, Sanchez and Kennedy",glee@example.net,Bank Transfer,Pending
ORD1013,2025-03-23,2025-03-27,Jason Shields,CUST787,Home Office,Electronics,Mouse,PROD9479,West,Arkansas,North Richardmouth,2,1314.74,0,2629.48,835.17,0.0,37,No,0,Wright and Sons,ltaylor@example.com,UPI,Pending
ORD1014,2025-04-17,2025-04-18,Thomas Ramos,CUST172,Home Office,Furniture,Study Table,PROD2104,North,Oklahoma,North Deniseside,6,447.2,5,2549.04,273.41,-141.5,8,Yes,43,Novak and Sons,richardolson@example.com,Net Banking,Returned
ORD1015,2026-03-24,2026-03-29,James Galloway,CUST584,Consumer,Groceries,Rice,PROD7669,South,Kentucky,Mitchellside,2,574.96,15,977.43,368.96,-67.73,46,No,0,"Higgins, Moore and Phillips",rileyamy@example.net,Credit Card,Returned
ORD1016,2024-12-22,2024-12-28,Kevin Shaw,CUST769,Home Office,Furniture,Office Chair,PROD7596,East,North Dakota,North Susan,2,1318.42,5,2505.0,942.03,0.0,27,No,0,York Inc,leonardjoe@example.org,UPI,Pending
ORD1017,2026-03-15,2026-03-18,Lauren Williams,CUST573,Consumer,Furniture,Sofa,PROD2604,North,Colorado,Sandovalshire,9,4196.54,0,37768.86,3653.28,0.0,10,No,0,"Stewart, Green and Santiago",john62@example.net,Cash,Pending
ORD1018,2025-09-06,2025-09-10,Eugene Walton,CUST592,Consumer,Groceries,Milk,PROD3697,West,California,South Christineshire,1,4928.01,10,4435.21,4290.36,-90.13,44,No,0,Jones and Sons,david51@example.org,Net Banking,Returned
ORD1019,2025-02-04,2025-02-10,Jeffrey Daniels,CUST835,Corporate,Office Supplies,Notebook,PROD5861,South,Maryland,Lake Lisaport,1,2937.98,20,2350.38,1540.63,0.0,3,Yes,21,"Garcia, Humphrey and Baker",newtoneric@example.com,Net Banking,Cancelled
